epoch,stage,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_sec
1,B,0.8717994987566735,0.7086114819759679,0.8616973861058553,0.7341666666666666,0.7397400782280802,0.0005026595744680851,254.05
2,B,0.75219674048341,0.8015687583444593,0.802380518913269,0.77,0.7737602023482237,0.001,257.23
3,B,0.7010104988859556,0.8304405874499332,0.8036699136098225,0.7708333333333334,0.7703500329151439,0.0009856161996258958,255.05
4,B,0.6503551045310831,0.8586448598130841,0.8104548708597819,0.765,0.7700396609946721,0.0009433007326983388,239.9
5,B,0.6190637146360247,0.8775033377837116,0.7337782939275106,0.8191666666666667,0.8182771089546522,0.000875512820344695,246.77
6,B,0.5846720598090952,0.8921895861148198,0.7758240922292073,0.8008333333333333,0.8017894246995715,0.0007861920496319221,249.47
7,B,0.5618969279233222,0.9062082777036048,0.7383903821309408,0.8166666666666667,0.8158417502198405,0.0006805294190860552,247.02
8,B,0.5307108902724308,0.9284045393858478,0.8211006728808085,0.7983333333333333,0.7961684069815917,0.000564665656726385,242.0
9,B,0.5152073676022733,0.9384178905206942,0.7600205747286478,0.8133333333333334,0.8110329779619838,0.0004453343432736152,241.97
10,B,0.4864638692068958,0.9527703604806409,0.8175924849510193,0.805,0.8051107387858569,0.0003294705809139448,247.07
